0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21.0,0.05,0.1
21.99,0.2,0.2
22.96,0.45,0.3
23.89,0.79,0.4
24.79,1.22,0.5
25.65,1.75,0.6
26.44,2.35,0.7
27.17,3.03,0.8
27.83,3.78,0.9
28.41,4.6,1.0
28.91,5.46,1.1
29.32,6.38,1.2
29.64,7.33,1.3
29.85,8.3,1.4
29.97,9.29,1.5
30.05,10.29,1.5
30.12,11.29,1.5
30.19,12.29,1.5
30.26,13.28,1.5
30.33,14.28,1.5
30.4,15.28,1.5
30.47,16.28,1.5
30.54,17.27,1.5
30.61,18.27,1.5
30.68,19.27,1.5
30.75,20.27,1.5
30.82,21.26,1.5
30.89,22.26,1.5
30.97,23.26,1.5
31.04,24.26,1.5
31.11,25.25,1.5
31.18,26.25,1.5
31.25,27.25,1.5
31.32,28.25,1.5
31.39,29.24,1.5
